Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
N'Goureyma,16968,Valid,"Iron, ungrouped",37500.0,1900-01-01,13.85,-4.38333,"[13.85, -4.38333]"
Nicorps,16970,Valid,Stone-uncl,,1750-01-01,49.03333,-1.43333,"[49.03333, -1.43333]"
Niger (L6),16974,Valid,L6,3.3,1967-01-01,0.0,0.0,"[0.0, 0.0]"
Niger (LL6),16975,Valid,LL6,3.3,1967-01-01,0.0,0.0,"[0.0, 0.0]"
Nikolaevka,16976,Valid,H4,3996.0,1935-01-01,52.45,78.63333,"[52.45, 78.63333]"
Nikolskoe,16977,Valid,L4,6000.0,1954-01-01,56.11667,37.33333,"[56.11667, 37.33333]"
Ningbo,16980,Valid,"Iron, IVA",14250.0,1975-01-01,29.86667,121.48333,"[29.86667, 121.48333]"
Ningqiang,16981,Valid,C3-ung,4610.0,1983-01-01,32.925,105.90667,"[32.925, 105.90667]"
Nio,16982,Valid,H3-4,467.0,1897-01-01,34.2,131.56667,"[34.2, 131.56667]"
N'Kandhla,16983,Valid,"Iron, IID",17200.0,1912-01-01,-28.56667,30.7,"[-28.56667, 30.7]"
Nobleborough,16984,Valid,Eucrite-pmict,2300.0,1823-01-01,44.08333,-69.48333,"[44.08333, -69.48333]"
Noblesville,16985,Valid,H4-6,483.7,1991-01-01,40.08528,-86.055,"[40.08528, -86.055]"
